raw_value,source_file,source_column,n_rows,canonical_make,canonical_parent,map_method,review_note
Buick,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,7,Buick,GM,division-rollup,
Chrysler,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,5,Chrysler,Stellantis,division-rollup,
AM,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,4,AM,,review,division short-name in Aston Martin rows of MY2024 FE file
FIAT,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,4,Fiat,Stellantis,division-rollup,
IAL,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,4,IAL,,self,
McLaren,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,4,McLaren,,self,
Toyota,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,3,Toyota,Toyota,division-rollup,
Lotus,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,3,Lotus,,review,"GM 1986-1993, Proton 1996-2017, Geely after"
MITSUBISHI,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,2,Mitsubishi,,self,
CERT,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,2,CERT,,review,junk division short-name in MY2024 FE file; resolve via CAFE Mfr Name on those rows
BGR,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,2,BGR,,review,Bugatti Rimac CAFE code
Pagani,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,1,Pagani,,self,
Bugatti,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,1,Bugatti,VW,division-rollup,
Chevrolet,vehicles.csv,make,4586,Chevrolet,GM,division-rollup,
Ford,vehicles.csv,make,3949,Ford,Ford,trends-parent,
GMC,vehicles.csv,make,2888,GMC,GM,division-rollup,
Dodge,vehicles.csv,make,2730,Dodge,Stellantis,division-rollup,
BMW,vehicles.csv,make,2703,BMW,BMW,trends-parent,
Toyota,vehicles.csv,make,2628,Toyota,Toyota,division-rollup,
Mercedes-Benz,vehicles.csv,make,2104,Mercedes-Benz,Mercedes,division-rollup,
Nissan,vehicles.csv,make,1737,Nissan,Nissan,division-rollup,
Porsche,vehicles.csv,make,1602,Porsche,VW,division-rollup,
Audi,vehicles.csv,make,1383,Audi,VW,division-rollup,
Volkswagen,vehicles.csv,make,1366,Volkswagen,VW,division-rollup,
Honda,vehicles.csv,make,1235,Honda,Honda,trends-parent,
Jeep,vehicles.csv,make,1174,Jeep,Stellantis,division-rollup,
Mazda,vehicles.csv,make,1156,Mazda,Mazda,division-rollup,
Mitsubishi,vehicles.csv,make,1149,Mitsubishi,,self,
Hyundai,vehicles.csv,make,1125,Hyundai,Hyundai,division-rollup,
Subaru,vehicles.csv,make,1058,Subaru,Subaru,division-rollup,
Volvo,vehicles.csv,make,974,Volvo,,review,"Ford 1999-2010, Geely after; separate CAFE manufacturer"
Kia,vehicles.csv,make,898,Kia,Kia,division-rollup,
Pontiac,vehicles.csv,make,893,Pontiac,GM,division-rollup,
Cadillac,vehicles.csv,make,833,Cadillac,GM,division-rollup,
Chrysler,vehicles.csv,make,768,Chrysler,Stellantis,division-rollup,
Lexus,vehicles.csv,make,767,Lexus,Toyota,division-rollup,
Buick,vehicles.csv,make,730,Buick,GM,division-rollup,
Mercury,vehicles.csv,make,609,Mercury,Ford,division-rollup,
MINI,vehicles.csv,make,553,Mini,BMW,division-rollup,
Jaguar,vehicles.csv,make,543,Jaguar,,review,"Ford 1990-2008, Tata/JLR after"
Plymouth,vehicles.csv,make,526,Plymouth,Stellantis,division-rollup,
Suzuki,vehicles.csv,make,515,Suzuki,,self,
Infiniti,vehicles.csv,make,493,Infiniti,Nissan,division-rollup,
Oldsmobile,vehicles.csv,make,462,Oldsmobile,GM,division-rollup,
Acura,vehicles.csv,make,441,Acura,Honda,division-rollup,
Lincoln,vehicles.csv,make,438,Lincoln,Ford,division-rollup,
Isuzu,vehicles.csv,make,434,Isuzu,,self,
Saab,vehicles.csv,make,432,Saab,,review,"GM 1990-2010, independent before, defunct after; parent depends on model year"
Land Rover,vehicles.csv,make,405,Land Rover,,review,"Ford 2000-2008, Tata/JLR after"
Ferrari,vehicles.csv,make,293,Ferrari,,self,
Saturn,vehicles.csv,make,278,Saturn,GM,division-rollup,
Rolls-Royce,vehicles.csv,make,261,Rolls-Royce,BMW,division-rollup,
Maserati,vehicles.csv,make,238,Maserati,,review,see Maserati
Aston Martin,vehicles.csv,make,196,Aston Martin,,review,"Ford 1994-2007, independent after"
Bentley,vehicles.csv,make,192,Bentley,VW,division-rollup,
Rivian,vehicles.csv,make,187,Rivian,,self,
Tesla,vehicles.csv,make,185,Tesla,Tesla,division-rollup,
Ram,vehicles.csv,make,177,Ram,Stellantis,division-rollup,
Genesis,vehicles.csv,make,171,Genesis,Hyundai,division-rollup,
Lamborghini,vehicles.csv,make,165,Lamborghini,VW,division-rollup,
Eagle,vehicles.csv,make,161,Eagle,Stellantis,division-rollup,
Geo,vehicles.csv,make,147,Geo,GM,division-rollup,
Alfa Romeo,vehicles.csv,make,103,Alfa Romeo,Stellantis,division-rollup,
Peugeot,vehicles.csv,make,98,Peugeot,,self,
Scion,vehicles.csv,make,84,Scion,Toyota,division-rollup,
Fiat,vehicles.csv,make,84,Fiat,Stellantis,division-rollup,
Lotus,vehicles.csv,make,71,Lotus,,review,"GM 1986-1993, Proton 1996-2017, Geely after"
Roush Performance,vehicles.csv,make,69,Roush Performance,,self,
Daewoo,vehicles.csv,make,67,Daewoo,,review,GM-affiliated 2002+ (sold as Suzuki/Chevrolet later); standalone brand years 1998-2002
Lucid,vehicles.csv,make,64,Lucid,,self,
Renault,vehicles.csv,make,56,Renault,,self,
McLaren Automotive,vehicles.csv,make,48,McLaren,,self,
smart,vehicles.csv,make,38,smart,Mercedes,division-rollup,
J.K. Motors,vehicles.csv,make,36,J.K. Motors,,unmapped,
Polestar,vehicles.csv,make,36,Polestar,,self,
Wallace Environmental,vehicles.csv,make,32,Wallace Environmental,,unmapped,
Maybach,vehicles.csv,make,31,Maybach,Mercedes,division-rollup,
American Motors Corporation,vehicles.csv,make,27,AMC,Stellantis,division-rollup,
Bugatti,vehicles.csv,make,22,Bugatti,VW,division-rollup,
Hummer,vehicles.csv,make,19,Hummer,GM,division-rollup,
CX Automotive,vehicles.csv,make,17,CX Automotive,,unmapped,
Daihatsu,vehicles.csv,make,17,Daihatsu,,self,
Federal Coach,vehicles.csv,make,14,Federal Coach,,unmapped,
Merkur,vehicles.csv,make,14,Merkur,Ford,division-rollup,
Spyker,vehicles.csv,make,13,Spyker,,self,
Import Trade Services,vehicles.csv,make,13,Import Trade Services,,unmapped,
Vinfast,vehicles.csv,make,13,VinFast,,self,
Sterling,vehicles.csv,make,12,Sterling,,self,
Dabryan Coach Builders Inc,vehicles.csv,make,9,Dabryan Coach Builders Inc,,unmapped,
Yugo,vehicles.csv,make,8,Yugo,,self,
Bertone,vehicles.csv,make,7,Bertone,,self,
BYD,vehicles.csv,make,7,BYD,,self,
AM General,vehicles.csv,make,6,AM General,,self,
Pininfarina,vehicles.csv,make,6,Pininfarina,,self,
"Tecstar, LP",vehicles.csv,make,6,"Tecstar, LP",,unmapped,
Mcevoy Motors,vehicles.csv,make,6,Mcevoy Motors,,unmapped,
INEOS Automotive,vehicles.csv,make,6,INEOS,,self,
Saleen,vehicles.csv,make,5,Saleen,,self,
Bitter Gmbh and Co. Kg,vehicles.csv,make,5,Bitter Gmbh and Co. Kg,,unmapped,
Saleen Performance,vehicles.csv,make,5,Saleen Performance,,self,
VPG,vehicles.csv,make,5,VPG,,unmapped,
Pagani,vehicles.csv,make,5,Pagani,,self,
Karma,vehicles.csv,make,5,Karma,,self,
Grumman Olson,vehicles.csv,make,4,Grumman Olson,,self,
Vector,vehicles.csv,make,4,Vector,,self,
Autokraft Limited,vehicles.csv,make,4,Autokraft Limited,,unmapped,
Panther Car Company Limited,vehicles.csv,make,4,Panther Car Company Limited,,unmapped,
Texas Coach Company,vehicles.csv,make,4,Texas Coach Company,,unmapped,
TVR Engineering Ltd,vehicles.csv,make,4,TVR,,self,
Kenyon Corporation Of America,vehicles.csv,make,4,Kenyon Corporation Of America,,unmapped,
Bill Dovell Motor Car Company,vehicles.csv,make,4,Bill Dovell Motor Car Company,,unmapped,
Fisker,vehicles.csv,make,4,Fisker,,self,
Mobility Ventures LLC,vehicles.csv,make,4,Mobility Ventures,,self,
RUF Automobile,vehicles.csv,make,4,Ruf,,self,
Bugatti Rimac,vehicles.csv,make,4,Bugatti Rimac,,review,Rimac-majority JV with Porsche 45% since 2021; not a clean VW rollup
Morgan,vehicles.csv,make,3,Morgan,,self,
BMW Alpina,vehicles.csv,make,3,BMW Alpina,,review,independent tuner until BMW acquired it in 2022; 3 rows in vehicles.csv
Ruf Automobile Gmbh,vehicles.csv,make,3,Ruf,,self,
Koenigsegg,vehicles.csv,make,3,Koenigsegg,,self,
Dacia,vehicles.csv,make,3,Dacia,,self,
Evans Automobiles,vehicles.csv,make,3,Evans Automobiles,,unmapped,
Consulier Industries Inc,vehicles.csv,make,3,Consulier Industries Inc,,unmapped,
"PAS, Inc",vehicles.csv,make,2,"PAS, Inc",,unmapped,
Avanti Motor Corporation,vehicles.csv,make,2,Avanti,,self,
Quantum Technologies,vehicles.csv,make,2,Quantum Technologies,,unmapped,
Red Shift Ltd.,vehicles.csv,make,2,Red Shift Ltd.,,unmapped,
CODA Automotive,vehicles.csv,make,2,CODA Automotive,,unmapped,
SRT,vehicles.csv,make,2,SRT,Stellantis,division-rollup,
CCC Engineering,vehicles.csv,make,2,CCC Engineering,,unmapped,
Laforza Automobile Inc,vehicles.csv,make,2,Laforza Automobile Inc,,unmapped,
PAS Inc - GMC,vehicles.csv,make,2,PAS Inc - GMC,,unmapped,
"E. P. Dutton, Inc.",vehicles.csv,make,1,"E. P. Dutton, Inc.",,unmapped,
Panoz Auto-Development,vehicles.csv,make,1,Panoz Auto-Development,,unmapped,
Qvale,vehicles.csv,make,1,Qvale,,self,
Lambda Control Systems,vehicles.csv,make,1,Lambda Control Systems,,unmapped,
London Coach Co Inc,vehicles.csv,make,1,London Coach Co Inc,,unmapped,
Shelby,vehicles.csv,make,1,Shelby,Ford,division-rollup,
Import Foreign Auto Sales Inc,vehicles.csv,make,1,Import Foreign Auto Sales Inc,,unmapped,
S and S Coach Company  E.p. Dutton,vehicles.csv,make,1,S and S Coach Company  E.p. Dutton,,unmapped,
Superior Coaches Div E.p. Dutton,vehicles.csv,make,1,Superior Coaches Div E.p. Dutton,,unmapped,
Vixen Motor Company,vehicles.csv,make,1,Vixen Motor Company,,unmapped,
Volga Associated Automobile,vehicles.csv,make,1,Volga Associated Automobile,,unmapped,
Panos,vehicles.csv,make,1,Panos,,unmapped,
London Taxi,vehicles.csv,make,1,London Taxi,,unmapped,
Excalibur Autos,vehicles.csv,make,1,Excalibur Autos,,unmapped,
Mahindra,vehicles.csv,make,1,Mahindra,,self,
Azure Dynamics,vehicles.csv,make,1,Azure Dynamics,,unmapped,
ASC Incorporated,vehicles.csv,make,1,ASC Incorporated,,unmapped,
Aurora Cars Ltd,vehicles.csv,make,1,Aurora Cars Ltd,,unmapped,
STI,vehicles.csv,make,1,STI,,unmapped,
Kandi,vehicles.csv,make,1,Kandi,,self,
"JBA Motorcars, Inc.",vehicles.csv,make,1,"JBA Motorcars, Inc.",,unmapped,
Lordstown,vehicles.csv,make,1,Lordstown,,self,
Mini,vehicles.csv,make,1,Mini,BMW,division-rollup,
Grumman Allied Industries,vehicles.csv,make,1,Grumman Allied Industries,,self,
Environmental Rsch and Devp Corp,vehicles.csv,make,1,Environmental Rsch and Devp Corp,,unmapped,
General Motors,vehicles.csv,make,1,GM,GM,division-rollup,
Goldacre,vehicles.csv,make,1,Goldacre,,unmapped,
Isis Imports Ltd,vehicles.csv,make,1,Isis Imports Ltd,,unmapped,
